stage,pooling,control,seed,attribute_id,attribute_name,attribute_group,train_observed,train_positive,train_negative,train_prevalence,validation_observed,validation_positive,validation_negative,threshold_selected_on_train,auroc,f1,train_loss
vision.early,mean,prevalence,-1,295,has_crown_color::brown,has_crown_color,155,60,95,0.3870967626571655,75,33,42,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,299,has_crown_color::grey,has_crown_color,155,36,119,0.23225806653499603,75,18,57,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,305,has_crown_color::black,has_crown_color,155,45,110,0.29032257199287415,75,24,51,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,306,has_crown_color::white,has_crown_color,155,20,135,0.12903225421905518,75,10,65,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,308,has_crown_color::buff,has_crown_color,155,31,124,0.20000000298023224,75,16,59,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,309,has_wing_pattern::solid,has_wing_pattern,151,32,119,0.21192052960395813,72,18,54,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,310,has_wing_pattern::spotted,has_wing_pattern,151,31,120,0.20529800653457642,72,7,65,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,311,has_wing_pattern::striped,has_wing_pattern,151,55,96,0.3642384111881256,72,33,39,0.0,0.5,0.0,nan
vision.early,mean,prevalence,-1,312,has_wing_pattern::multi-colored,has_wing_pattern,151,33,118,0.21854305267333984,72,14,58,0.0,0.5,0.0,nan
vision.early,mean,shuffled_labels,0,2,has_bill_shape::dagger,has_bill_shape,160,14,146,0.08749999850988388,76,4,72,7.200857162475586,0.53125,0.0,0.013096935115754604
vision.early,mean,shuffled_labels,0,5,has_bill_shape::hooked_seabird,has_bill_shape,160,15,145,0.09375,76,3,73,5.26041841506958,0.3698630136986301,0.0,0.013096935115754604
vision.early,mean,shuffled_labels,0,7,has_bill_shape::all-purpose,has_bill_shape,160,66,94,0.4124999940395355,76,34,42,4.25897216796875,0.453781512605042,0.19607843137254902,0.013096935115754604
vision.early,mean,shuffled_labels,0,8,has_bill_shape::cone,has_bill_shape,160,44,116,0.2750000059604645,76,21,55,4.418214797973633,0.5151515151515151,0.16216216216216217,0.013096935115754604
vision.early,mean,shuffled_labels,0,96,has_head_pattern::malar,has_head_pattern,156,16,140,0.10256410390138626,76,10,66,5.90585994720459,0.4575757575757576,0.16666666666666666,0.013096935115754604
vision.early,mean,shuffled_labels,0,100,has_head_pattern::eyebrow,has_head_pattern,156,30,126,0.19230769574642181,76,14,62,4.151832580566406,0.47119815668202764,0.06896551724137931,0.013096935115754604
vision.early,mean,shuffled_labels,0,101,has_head_pattern::eyering,has_head_pattern,156,25,131,0.16025641560554504,76,16,60,4.514183521270752,0.5479166666666667,0.3333333333333333,0.013096935115754604
vision.early,mean,shuffled_labels,0,102,has_head_pattern::plain,has_head_pattern,156,37,119,0.2371794879436493,76,13,63,4.293895244598389,0.518925518925519,0.1935483870967742,0.013096935115754604
vision.early,mean,shuffled_labels,0,103,has_head_pattern::eyeline,has_head_pattern,156,18,138,0.11538461595773697,76,7,69,6.0728864669799805,0.4803312629399586,0.0,0.013096935115754604
vision.early,mean,shuffled_labels,0,104,has_head_pattern::striped,has_head_pattern,156,15,141,0.09615384787321091,76,14,62,4.34660530090332,0.49193548387096775,0.12903225806451613,0.013096935115754604
vision.early,mean,shuffled_labels,0,105,has_head_pattern::capped,has_head_pattern,156,16,140,0.10256410390138626,76,9,67,5.406888484954834,0.5422885572139303,0.17391304347826086,0.013096935115754604
vision.early,mean,shuffled_labels,0,107,has_breast_color::brown,has_breast_color,145,29,116,0.20000000298023224,75,14,61,5.192063331604004,0.4426229508196721,0.13636363636363635,0.013096935115754604
vision.early,mean,shuffled_labels,0,111,has_breast_color::grey,has_breast_color,145,40,105,0.27586206793785095,75,19,56,4.536891460418701,0.6118421052631579,0.358974358974359,0.013096935115754604
vision.early,mean,shuffled_labels,0,117,has_breast_color::black,has_breast_color,145,50,95,0.3448275923728943,75,30,45,4.494792461395264,0.42962962962962964,0.18181818181818182,0.013096935115754604
vision.early,mean,shuffled_labels,0,118,has_breast_color::white,has_breast_color,145,51,94,0.35172414779663086,75,41,34,4.204964637756348,0.4806312769010043,0.45901639344262296,0.013096935115754604
vision.early,mean,shuffled_labels,0,120,has_breast_color::buff,has_breast_color,145,52,93,0.35862070322036743,75,26,49,4.899324417114258,0.47959183673469385,0.2,0.013096935115754604
vision.early,mean,shuffled_labels,0,294,has_crown_color::blue,has_crown_color,155,11,144,0.07096774131059647,75,4,71,10.623456001281738,0.7288732394366197,0.2,0.013096935115754604
vision.early,mean,shuffled_labels,0,295,has_crown_color::brown,has_crown_color,155,60,95,0.3870967626571655,75,33,42,3.785175085067749,0.523088023088023,0.2692307692307692,0.013096935115754604
vision.early,mean,shuffled_labels,0,299,has_crown_color::grey,has_crown_color,155,36,119,0.23225806653499603,75,18,57,4.9469757080078125,0.5721247563352827,0.32432432432432434,0.013096935115754604
vision.early,mean,shuffled_labels,0,305,has_crown_color::black,has_crown_color,155,45,110,0.29032257199287415,75,24,51,4.390964508056641,0.43790849673202614,0.2608695652173913,0.013096935115754604
vision.early,mean,shuffled_labels,0,306,has_crown_color::white,has_crown_color,155,20,135,0.12903225421905518,75,10,65,5.641602516174316,0.5123076923076924,0.2,0.013096935115754604
vision.early,mean,shuffled_labels,0,308,has_crown_color::buff,has_crown_color,155,31,124,0.20000000298023224,75,16,59,5.022331237792969,0.4385593220338983,0.12121212121212122,0.013096935115754604
vision.early,mean,shuffled_labels,0,309,has_wing_pattern::solid,has_wing_pattern,151,32,119,0.21192052960395813,72,18,54,4.825262069702148,0.448559670781893,0.2631578947368421,0.013096935115754604
vision.early,mean,shuffled_labels,0,310,has_wing_pattern::spotted,has_wing_pattern,151,31,120,0.20529800653457642,72,7,65,4.609317779541016,0.7318681318681318,0.3076923076923077,0.013096935115754604
vision.early,mean,shuffled_labels,0,311,has_wing_pattern::striped,has_wing_pattern,151,55,96,0.3642384111881256,72,33,39,4.329261779785156,0.5415695415695416,0.4230769230769231,0.013096935115754604
vision.early,mean,shuffled_labels,0,312,has_wing_pattern::multi-colored,has_wing_pattern,151,33,118,0.21854305267333984,72,14,58,4.094223499298096,0.458128078817734,0.13793103448275862,0.013096935115754604
vision.early,mean,shuffled_labels,1,2,has_bill_shape::dagger,has_bill_shape,160,14,146,0.08749999850988388,76,4,72,10.395976066589355,0.6527777777777778,0.2222222222222222,0.013794085010886192
vision.early,mean,shuffled_labels,1,5,has_bill_shape::hooked_seabird,has_bill_shape,160,15,145,0.09375,76,3,73,8.21125602722168,0.3561643835616438,0.0,0.013794085010886192
vision.early,mean,shuffled_labels,1,7,has_bill_shape::all-purpose,has_bill_shape,160,66,94,0.4124999940395355,76,34,42,4.294308662414551,0.5952380952380952,0.46153846153846156,0.013794085010886192
